operating_cash_flow,investing_cash_flow,fixed_asset_expenditure,financing_cash_flow,cash_and_equivalents_beginning,fx_rate_effect_on_cash,cash_and_equivalents_changes,cash_and_equivalents_ending,ticker_code,year
18691721,5071215.0,-3744505.0,-24245044.0,15413079,-8741.0,,6106510,WINS,2017
-786565,27013.0,-41484.0,964999.0,547353,,,684303,WOMF,2017
41456873494,63209428838.0,-490256542154.0,507494783339.0,-68526045999,22452192.0,,-9808479128,WOOD,2017
-2413798672493,1302336089771.0,-1302336089771.0,538659938611.0,4205820405671,,,1028345582018,WSBP,2017
-5959562435459,2434808757933.0,-19238718205754.0,20630919146126.0,10655996501931,327579903.0,,6088962586747,WSKT,2017
556143968918,,-531584510283.0,270984723717.0,342211214681,,,637755397032,WTON,2017
-27114919034,5438003597.0,-5438003597.0,33135715978.0,679775017,-134946.0,,1262433418,YPAS,2017
1781983883,260859100.0,-322876479100.0,305650101254.0,26856547343,,,11412153380,YULE,2017
368421606,133100000.0,-8100000.0,0.0,60233078,0.0,0.0,420554684,ZBRA,2017
32588237913,79764342983.0,-39677196374.0,59965663160.0,13494252011,,,66370956710,ZINC,2017
